"","eda","p3","ent","sex","cs_p13_1","e_con","ur","seg_soc","hrsocup","hij5c","mh_fil2","par_c","sal_sem","exp","exp2"
"1308",22,"8343","27","1","7","6","2","2",48,"0","2","301",4300,3,9
"1309",51,"5222","27","2","4","1","2","1",60,"1","2","201",3000,33,1089
"1310",17,"5222","27","1","4","6","2","2",16,"0","2","301",1290,0,0
"1311",47,"8343","27","1","3","5","2","1",60,"0","2","101",7740,32,1024
"1312",46,"8343","28","1","3","5","2","2",20,"0","3","101",2000,31,961
"1313",18,"5222","29","2","3","6","2","2",54,"1","2","301",3870,3,9
"1314",54,"5113","29","2","6","6","2","2",18,"2","2","301",2580,36,1296
"1315",34,"5222","30","2","2","6","2","2",50,"3","2","101",2500,22,484
"1316",22,"5222","30","2","4","6","2","2",43,"1","2","408",3440,4,16
"1317",37,"5222","30","2","4","5","2","2",55,"2","2","201",4300,19,361
"1318",47,"5222","31","2","2","6","2","2",14,"1","2","301",688,39,1521
"1319",32,"9722","31","1","3","1","2","2",36,"0","3","101",5000,17,289
"1320",64,"5222","31","2","2","1","2","2",8,"3","2","101",860,55,3025
"1321",52,"8343","31","1","2","6","2","2",58,"0","2","301",5590,40,1600
"1322",50,"5222","32","2","2","1","2","2",72,"2","2","201",8600,41,1681
"1323",34,"5222","32","2","2","6","2","2",35,"1","2","301",1290,22,484
"1324",54,"5222","32","2","7","5","2","2",15,"3","2","201",150,35,1225
